state_province,especie
Madrid,"0      NaN
1      NaN
2      NaN
3      NaN
4      NaN
      ... 
243    NaN
244    NaN
245    NaN
246    NaN
247    NaN
Name: nombre, Length: 248, dtype: object"
Alacant/Alicante,Serinus serinus
Tarragona,Passer domesticus
Las Palmas,Phylloscopus canariensis
Las Palmas,Anthus berthelotii
Illes Balears,Apus apus
Zamora,Anthus pratensis
Barcelona,Phasianus colchicus
Zamora,Sturnus
Valncia/Valencia,Passer domesticus
Tarragona,Luscinia megarhynchos
Ciudad Real,Streptopelia turtur
Girona,Periparus ater
Girona,"0      NaN
1      NaN
2      NaN
3      NaN
4      NaN
      ... 
243    NaN
244    NaN
245    NaN
246    NaN
247    NaN
Name: nombre, Length: 248, dtype: object"
Murcia,Passer domesticus
Las Palmas,Apus unicolor
Murcia,Muscicapa striata
Las Palmas,Carduelis carduelis
Girona,Aegithalos caudatus
Tarragona,Apus apus
Albacete,Turdus viscivorus
Girona,Buteo buteo
Zamora,Cisticola juncidis
A Corua,Sturnus
A Corua,Hirundo rustica
A Corua,Picus viridis
Zamora,Columba livia
Girona,Larus michahellis
Valncia/Valencia,Chroicocephalus ridibundus
Las Palmas,Turdus merula
Len,Hirundo rustica
Zamora,Emberiza cirlus
Barcelona,Estrilda astrild
Barcelona,Myiopsitta monachus
Murcia,Podiceps nigricollis
Len,Pica pica
A Corua,Delichon urbicum
Murcia,Ardea cinerea
Ourense,Motacilla alba
Ciudad Real,Lanius meridionalis
Len,Ardea cinerea
Asturias,Hirundo rustica
Asturias,Carduelis carduelis
Asturias,Falco peregrinus
Ourense,Erithacus rubecula
Illes Balears,Hirundo rustica
Barcelona,Ardea cinerea
Las Palmas,Ardea cinerea
Ciudad Real,Passer hispaniolensis
Murcia,Sturnus
A Corua,Falco peregrinus
Valncia/Valencia,Parus major
Segovia,Falco tinnunculus
Murcia,Serinus serinus
Lleida,Gallinula chloropus
Tarragona,Streptopelia decaocto
Barcelona,Oriolus oriolus
Girona,Bubulcus ibis
A Corua,"0      NaN
1      NaN
2      NaN
3      NaN
4      NaN
      ... 
243    NaN
244    NaN
245    NaN
246    NaN
247    NaN
Name: nombre, Length: 248, dtype: object"
Alacant/Alicante,Luscinia megarhynchos
Palencia,Hirundo rustica
Girona,Ardea cinerea
Alacant/Alicante,Falco tinnunculus
Len,Streptopelia decaocto
Zamora,Fringilla coelebs
Ciudad Real,Pica pica
Girona,Gallinula chloropus
Las Palmas,Passer hispaniolensis
Zamora,Passer domesticus
Barcelona,Passer montanus
Ourense,Delichon urbicum
Lleida,Serinus serinus
Len,Columba livia
Murcia,Estrilda astrild
Madrid,Chroicocephalus ridibundus
Barcelona,Sturnus
Barcelona,Corvus corax
Segovia,Buteo buteo
Valncia/Valencia,Anas platyrhynchos
Girona,Upupa epops
Zaragoza,Cygnus olor
Alacant/Alicante,Delichon urbicum
Valncia/Valencia,Streptopelia turtur
Ciudad Real,Upupa epops
Murcia,Merops apiaster
A Corua,Columba livia
Valncia/Valencia,Larus michahellis
Girona,Apus apus
Len,Buteo buteo
Illes Balears,Passer domesticus
Barcelona,Turdus philomelos
Len,Columba palumbus
Segovia,Saxicola rubicola
Madrid,Passer domesticus
Len,Carduelis carduelis
Girona,Phalacrocorax carbo
A Corua,Corvus corax
Tarragona,Pica pica
Tarragona,Phylloscopus collybita
A Corua,Phylloscopus bonelli
Zamora,Nycticorax nycticorax
Alacant/Alicante,Cyanistes caeruleus
Girona,Picus viridis
Valncia/Valencia,Sturnus
Ciudad Real,Hirundo rustica
Alacant/Alicante,Ardea cinerea
Murcia,Phalacrocorax carbo
Santa Cruz de Tenerife,Sylvia atricapilla
Murcia,Phylloscopus collybita
Valncia/Valencia,Apus apus
Valncia/Valencia,Luscinia megarhynchos
Araba/lava,Corvus corone
Zamora,Delichon urbicum
Valncia/Valencia,Hirundo rustica
Ciudad Real,Himantopus himantopus
Lleida,Delichon urbicum
Valncia/Valencia,Cettia cetti
Barcelona,Larus michahellis
Las Palmas,Serinus serinus
A Corua,Passer montanus
Asturias,Motacilla alba
Girona,Sylvia atricapilla
Zamora,Passer montanus
Zaragoza,Anas platyrhynchos
A Corua,Phylloscopus ibericus
Barcelona,Anthus pratensis
Ourense,Columba palumbus
Ciudad Real,Serinus serinus
Ciudad Real,Motacilla alba
A Corua,Phalacrocorax carbo
Lleida,Columba palumbus
Zamora,Anas platyrhynchos
Albacete,Actitis hypoleucos
Valncia/Valencia,Motacilla alba
Alacant/Alicante,Motacilla cinerea
Zamora,Parus major
Ciudad Real,Parus major
Segovia,Pica pica
Madrid,Motacilla alba
Madrid,Carduelis carduelis
Araba/lava,Turdus merula
Girona,Cisticola juncidis
Zamora,Phylloscopus collybita
Valncia/Valencia,Phylloscopus collybita
Len,Phalacrocorax carbo
Palencia,Corvus corone
Palencia,Periparus ater
Lleida,Hirundo rustica
Zamora,Serinus serinus
Lleida,Anas platyrhynchos
Girona,Corvus corax
Barcelona,Phylloscopus collybita
Zaragoza,Turdus merula
Las Palmas,Netta rufina
Palencia,Serinus serinus
Valncia/Valencia,Pica pica
Murcia,Anas clypeata
Murcia,"0      NaN
1      NaN
2      NaN
3      NaN
4      NaN
      ... 
243    NaN
244    NaN
245    NaN
246    NaN
247    NaN
Name: nombre, Length: 248, dtype: object"
Murcia,Burhinus oedicnemus
Zamora,Phylloscopus ibericus
Ourense,Passer domesticus
Zamora,Certhia brachydactyla
Albacete,Motacilla alba
Girona,Columba livia
Madrid,Anas platyrhynchos
Ciudad Real,Streptopelia decaocto
Ciudad Real,Actitis hypoleucos
A Corua,Prunella modularis
Len,Bubulcus ibis
A Corua,Cyanistes caeruleus
Valncia/Valencia,Falco tinnunculus
Valncia/Valencia,Bubulcus ibis
Zamora,Phoenicurus ochruros
Valncia/Valencia,Cisticola juncidis
Las Palmas,Actitis hypoleucos
Ourense,Hirundo rustica
Murcia,Sylvia melanocephala
Zamora,Galerida cristata
Las Palmas,Phylloscopus collybita
Zamora,Pica pica
Ciudad Real,Pernis apivorus
A Corua,Falco tinnunculus
Valncia/Valencia,"0      NaN
1      NaN
2      NaN
3      NaN
4      NaN
      ... 
243    NaN
244    NaN
245    NaN
246    NaN
247    NaN
Name: nombre, Length: 248, dtype: object"
Len,Picus viridis
Bizkaia,Erithacus rubecula
Alacant/Alicante,Hirundo daurica
Murcia,Carduelis carduelis
Tarragona,Larus michahellis
Asturias,Phalacrocorax carbo
Girona,Anthus pratensis
Lleida,Tachybaptus ruficollis
Ourense,Chroicocephalus ridibundus
Madrid,Serinus serinus
Tarragona,Parus major
Alacant/Alicante,Larus michahellis
Ciudad Real,Motacilla cinerea
Bizkaia,Turdus merula
Palencia,Carduelis carduelis
Murcia,Erithacus rubecula
Las Palmas,Passer domesticus
Ciudad Real,Chroicocephalus ridibundus
Ciudad Real,Anthus campestris
Zamora,Columba palumbus
Tarragona,Columba livia
Zamora,Streptopelia decaocto
Ciudad Real,Charadrius dubius
A Corua,Accipiter nisus
Barcelona,Streptopelia turtur
Alacant/Alicante,Chroicocephalus ridibundus
Tarragona,Anas platyrhynchos
Ciudad Real,Oxyura leucocephala
Valncia/Valencia,Buteo buteo
Valncia/Valencia,Passer montanus
Murcia,Himantopus himantopus
Len,Motacilla cinerea
Madrid,Cyanistes caeruleus
Asturias,Turdus merula
A Corua,Streptopelia turtur
Pontevedra,Upupa epops
Barcelona,Cettia cetti
Albacete,Himantopus himantopus
Palencia,Milvus milvus
Pontevedra,Pica pica
Len,Sturnus
Las Palmas,Calidris alba
Girona,Petronia petronia
Barcelona,Fulica atra
Las Palmas,Cyanistes caeruleus
Madrid,Delichon urbicum
Albacete,Passer montanus
Zaragoza,Erithacus rubecula
Segovia,Galerida theklae
Valncia/Valencia,Streptopelia decaocto
Segovia,Serinus serinus
Ourense,Phoenicurus ochruros
Girona,Ptyonoprogne rupestris
Barcelona,Tadorna tadorna
Lleida,Passer domesticus
Ciudad Real,Egretta garzetta
Valncia/Valencia,Columba palumbus
Ciudad Real,Carduelis carduelis
Murcia,Tadorna tadorna
Alacant/Alicante,"0      NaN
1      NaN
2      NaN
3      NaN
4      NaN
      ... 
243    NaN
244    NaN
245    NaN
246    NaN
247    NaN
Name: nombre, Length: 248, dtype: object"
Madrid,Phoenicurus ochruros
Araba/lava,Ardea cinerea
Barcelona,Anas strepera
Araba/lava,Erithacus rubecula
Las Palmas,Hirundo rustica
Zamora,Merops apiaster
Barcelona,Falco tinnunculus
Len,Phylloscopus ibericus
A Corua,Larus michahellis
Murcia,Cettia cetti
